,0165_10,0165_11,0165_12,0165_13,0165_14,0165_15,0165_16,0165_17,0165_18,0165_19,0165_20,0165_21,0165_22,0165_23,0165_24,0165_25,0165_26,0165_27,0165_28,0165_29,0165_30,internetP,label
ar_0000059,42351,24727,1125,9789,3669,6120,4653,1910,2743,310,150,160,2078,690,1388,2468,739,1729,4304,1852,15772,0.583858704635,train
fl_0000164,42894,36647,247,8002,3025,4977,18234,7493,10741,3341,1131,2210,325,205,120,5132,3153,1979,1366,1060,5187,0.854361915419,train
il_0000151,65231,52197,367,13960,4454,9506,28049,10844,17205,512,320,192,1289,531,758,4859,2895,1964,3161,3577,9457,0.80018702764,train
oh_0000139,55405,41787,316,5443,2588,2855,28785,13809,14976,1733,1249,484,570,46,524,2638,1409,1229,2302,810,12808,0.754209908853,train
pr_0000058,44780,17632,492,2491,578,1913,8618,1773,6845,809,100,709,533,339,194,2702,786,1916,1987,4453,22695,0.393747208575,train
ga_0000127,64479,50414,80,12009,5436,6573,24714,10539,14175,1958,692,1266,1551,1103,448,6428,3475,2953,3674,2605,11460,0.781866964438,train
nm_0000045,35372,20744,265,6170,1193,4977,8743,3323,5420,177,0,177,458,178,280,2505,1882,623,2426,1358,13270,0.586452561348,train
ri_0000028,60595,41076,118,1583,652,931,20849,5477,15372,10290,4259,6031,304,265,39,3832,1924,1908,4100,1931,17588,0.677877712683,train
tx_0000255,45072,27782,1273,7183,1803,5380,9362,3216,6146,2555,580,1975,593,202,391,3313,1620,1693,3503,2778,14512,0.616391551296,train
fl_0000189,75729,59512,332,3733,856,2877,29171,9240,19931,16424,6205,10219,450,213,237,6057,2960,3097,3345,3082,13135,0.78585482444,train
ca_0000546,35629,33454,99,9721,4529,5192,16384,8334,8050,963,431,532,379,125,254,4952,3129,1823,956,505,1670,0.938954222684,train
wi_0000099,37167,19352,50,3263,1037,2226,11501,5267,6234,326,221,105,261,68,193,1604,746,858,2347,3260,14555,0.520676944601,train
fl_0000171,67630,56721,985,15043,5199,9844,28669,11557,17112,1046,609,437,1456,752,704,4709,2977,1732,4813,2128,8781,0.838695845039,train
ca_0000461,44371,36519,442,9695,4246,5449,15363,5125,10238,4805,843,3962,709,256,453,3833,1930,1903,1672,902,6950,0.823037569584,train
co_0000092,47547,38249,532,9115,4259,4856,17460,7933,9527,699,254,445,1175,310,865,3218,1525,1693,6050,1292,8006,0.80444612699,train
fl_0000262,49491,42205,180,8193,3950,4243,23121,10205,12916,1327,638,689,478,88,390,7518,5043,2475,1388,1237,6049,0.852781313774,train
pa_0000152,57396,45073,706,10335,3980,6355,20613,5926,14687,2951,575,2376,371,137,234,8230,1788,6442,1867,1305,11018,0.785298627082,train
co_0000062,38111,25025,950,7000,2576,4424,6020,2627,3393,359,202,157,4203,1363,2840,2994,1303,1691,3499,1122,11964,0.656634567448,train
ny_0000137,48795,33282,382,3222,1295,1927,24230,7779,16451,250,51,199,1089,245,844,2149,630,1519,1960,2247,13266,0.682078081771,train
ct_0000061,46212,24161,229,3213,997,2216,10043,4023,6020,877,486,391,242,140,102,7727,2749,4978,1830,2512,19539,0.522829568078,train
oh_0000115,42298,33636,719,9200,2431,6769,16416,5359,11057,2338,458,1880,120,87,33,3331,1374,1957,1512,1044,7618,0.795214903778,train
nc_0000150,52337,33376,804,10884,2805,8079,13945,4524,9421,783,510,273,725,151,574,3573,1411,2162,2662,2043,16918,0.637713281235,train
pa_0000162,47933,32298,295,6303,2314,3989,14497,7075,7422,4792,2675,2117,480,154,326,3096,2030,1066,2835,1562,14073,0.673815534183,train
mo_0000065,42926,28685,556,6005,2007,3998,13434,5318,8116,279,171,108,2378,1012,1366,2970,1924,1046,3063,2031,12210,0.668243022877,train
ne_0000033,63065,49669,482,10148,2641,7507,30270,8885,21385,437,45,392,625,261,364,4260,1819,2441,3447,2173,11223,0.787584238484,train
al_0000064,40135,23766,278,6480,1977,4503,11198,2931,8267,229,142,87,722,55,667,3095,913,2182,1764,3253,13116,0.592151488726,train
ca_0000429,38652,35547,80,4530,2095,2435,26203,13652,12551,748,155,593,229,95,134,2724,1375,1349,1033,258,2847,0.919667805029,train
ny_0000206,52724,41774,134,1877,523,1354,34542,10833,23709,530,181,349,43,0,43,3991,2197,1794,657,1962,8988,0.792314695395,train
tx_0000321,40683,34928,158,7252,3883,3369,16371,10256,6115,2225,936,1289,860,219,641,4459,3046,1413,3603,1452,4303,0.858540422289,train
ga_0000108,74565,50125,207,11413,4085,7328,29690,14200,15490,490,384,106,425,119,306,5435,1746,3689,2465,5181,19259,0.672232280561,train
pr_0000066,50524,20110,681,3388,757,2631,9832,2372,7460,112,28,84,774,267,507,1728,830,898,3595,1227,29187,0.398028659647,train
mi_0000154,45602,36830,293,5265,2865,2400,23001,8733,14268,1445,908,537,622,195,427,3063,1531,1532,3141,778,7994,0.807640015789,train
tn_0000075,41094,24985,664,4357,1011,3346,13815,4298,9517,623,202,421,931,206,725,2737,1463,1274,1858,1296,14813,0.607996301163,train
mi_0000118,72801,50861,468,11632,4409,7223,29038,10482,18556,1661,680,981,631,348,283,4176,1933,2243,3255,3902,18038,0.698630513317,train
ga_0000142,44905,37493,82,8919,4136,4783,15174,5681,9493,1762,769,993,897,386,511,9290,3799,5491,1369,1085,6327,0.834940429796,train
va_0000119,38924,36716,86,3188,1525,1663,17560,9934,7626,9729,5471,4258,519,239,280,4555,3051,1504,1079,589,1619,0.943274072552,train
mn_0000105,43942,31638,604,8305,1965,6340,13690,3994,9696,1473,383,1090,2020,595,1425,3495,1635,1860,2051,1595,10709,0.719994538255,train
nc_0000126,52423,32666,1107,7915,3109,4806,12446,4303,8143,431,319,112,1619,784,835,6459,2488,3971,2689,1637,18120,0.623123438186,train
nd_0000027,44880,34046,1015,5726,2631,3095,15684,6205,9479,1371,410,961,1589,421,1168,4963,2565,2398,3698,1141,9693,0.758600713012,train
il_0000210,44859,32543,550,6779,2952,3827,15803,7202,8601,835,544,291,1548,854,694,2161,1382,779,4867,2966,9350,0.72545085713,train
ca_0000318,76621,53127,2355,18345,5009,13336,14555,3215,11340,833,197,636,6227,1663,4564,7587,3309,4278,3225,3727,19767,0.693373879224,train
ga_0000147,46978,23136,858,8242,1924,6318,2131,822,1309,2465,1002,1463,2878,697,2181,4017,806,3211,2545,2787,21055,0.492485844438,train
tx_0000367,48922,34401,645,4568,2127,2441,15673,4669,11004,2031,977,1054,1834,932,902,6063,3074,2989,3587,2777,11744,0.703180573157,train
al_0000088,65307,44327,678,16968,7213,9755,15488,5974,9514,1999,675,1324,2026,1210,816,4467,1908,2559,2701,3021,17959,0.678748066823,train
va_0000112,67384,52466,576,3625,1324,2301,22743,10839,11904,12945,6534,6411,481,103,378,7000,2589,4411,5096,1927,12991,0.778612133444,train
ma_0000119,48262,30740,101,2648,1007,1641,23290,10097,13193,86,0,86,503,184,319,2552,1391,1161,1560,1914,15608,0.636940035639,train
az_0000073,41282,23959,299,4115,1946,2169,14110,5955,8155,265,119,146,182,72,110,1180,818,362,3808,1480,15843,0.580374012887,train
mi_0000164,59490,40070,326,3427,1689,1738,30264,9083,21181,442,171,271,397,158,239,3741,1696,2045,1473,2273,17147,0.673558581274,train
mo_0000076,53050,38782,258,9181,2908,6273,17373,8671,8702,3913,2565,1348,1424,600,824,3591,1875,1716,3042,1500,12768,0.731046182846,train
ma_0000074,45946,35979,837,9663,2045,7618,18520,6330,12190,566,117,449,1434,503,931,3063,1096,1967,1896,1609,8358,0.783071431681,train
tx_0000220,41858,33674,535,5211,1379,3832,9044,4084,4960,6649,2772,3877,3948,1463,2485,4466,2528,1938,3821,1349,6835,0.804481819485,train
co_0000090,38296,33586,413,11324,3980,7344,9946,3924,6022,489,302,187,4063,1907,2156,3448,1863,1585,3903,535,4175,0.877010653854,train
tx_0000296,38317,27006,1091,7427,3854,3573,4750,1218,3532,1113,530,583,3388,1164,2224,1807,928,879,7430,410,10901,0.704804655897,train
pr_0000080,50891,30362,649,5809,2615,3194,10416,5595,4821,377,246,131,489,32,457,3118,2257,861,9504,1453,19076,0.596608437641,train
nh_0000036,51200,45165,76,3025,1100,1925,34436,14078,20358,1980,1315,665,478,436,42,2562,1627,935,2608,739,5296,0.88212890625,train
fl_0000194,67019,53366,149,2647,776,1871,22473,6376,16097,16028,5510,10518,480,164,316,9560,5058,4502,2029,2248,11405,0.796281651472,train
tx_0000203,58545,44137,1099,12019,4698,7321,12651,5254,7397,4081,1750,2331,4945,1920,3025,5342,3333,2009,4000,3755,10653,0.753898710394,train
ny_0000258,87775,62210,507,4638,1298,3340,35399,13845,21554,12546,6261,6285,187,64,123,7115,2622,4493,1818,2477,23088,0.708743947593,train
ca_0000329,35328,27135,425,5792,2354,3438,14226,6109,8117,1451,677,774,220,0,220,3926,2811,1115,1095,2697,5496,0.76808763587,train
ia_0000047,87137,68276,936,12630,3660,8970,38016,14135,23881,2516,861,1655,919,131,788,7821,4458,3363,5438,3585,15276,0.783547746652,train
ms_0000035,52615,31959,1021,8787,3788,4999,9275,4051,5224,181,115,66,2590,1227,1363,3615,1341,2274,6490,2097,18559,0.607412334885,train
ca_0000567,54798,48244,339,4508,2278,2230,19633,11237,8396,12846,7687,5159,864,177,687,9320,6610,2710,734,1212,5342,0.880397094784,train
ny_0000185,46266,40212,87,1403,591,812,25895,14126,11769,8817,5990,2827,0,0,0,3728,2361,1367,282,1054,5000,0.869147970432,train
vt_0000014,59381,44162,929,18724,3566,15158,15944,4040,11904,379,106,273,2549,484,2065,2973,1280,1693,2664,2271,12948,0.743705899193,train
fl_0000152,49506,40414,503,5072,1910,3162,27692,12258,15434,1662,1027,635,531,125,406,3426,1913,1513,1528,2054,7038,0.816345493476,train
ny_0000150,67980,48370,530,5110,1474,3636,27070,8961,18109,8138,2315,5823,868,222,646,4437,2065,2372,2217,2658,16952,0.711532803766,train
tx_0000207,42227,26333,1325,8208,2732,5476,4294,1579,2715,668,342,326,4434,1033,3401,2147,1038,1109,5257,2880,13014,0.623605749876,train
pa_0000169,54402,45004,441,3747,755,2992,21104,7013,14091,14506,7533,6973,72,0,72,4353,2646,1707,781,1963,7435,0.827248998199,train
fl_0000255,42450,36464,360,8585,2617,5968,20189,7087,13102,1176,535,641,586,277,309,3620,2113,1507,1948,1745,4241,0.858987043581,train
mo_0000066,49150,32860,600,10746,3503,7243,8197,3106,5091,2906,695,2211,2118,511,1607,3875,1526,2349,4418,1077,15213,0.668565615463,train
ca_0000406,52275,37863,498,12758,3571,9187,12276,4879,7397,2400,1405,995,594,222,372,6300,2226,4074,3037,1960,12452,0.724304160689,train
ca_0000516,52579,47029,306,12923,7030,5893,24885,12968,11917,1134,709,425,585,281,304,4419,2463,1956,2777,1340,4210,0.894444550106,train
fl_0000241,73931,59543,329,6645,1508,5137,42782,12564,30218,299,109,190,1151,224,927,4724,1751,2973,3613,2681,11707,0.805386103258,train
al_0000058,44137,31968,502,4222,1465,2757,21825,11489,10336,230,161,69,306,65,241,3165,1521,1644,1718,2113,10056,0.724290277998,train
wa_0000091,49399,37003,738,11303,3471,7832,13061,5514,7547,523,310,213,2782,1011,1771,5124,2092,3032,3472,1574,10822,0.74906374623,train
ny_0000184,50873,41065,216,1587,380,1207,23898,11557,12341,10256,5760,4496,380,146,234,4135,2742,1393,593,2031,7777,0.807206180096,train
va_0000124,35855,32047,244,2591,781,1810,15161,6924,8237,6024,2651,3373,500,263,237,5243,2275,2968,2284,881,2927,0.893794449868,train
pa_0000171,44032,29589,346,5124,1263,3861,19507,4612,14895,801,74,727,740,221,519,2252,637,1615,819,2824,11619,0.671988553779,train
mo_0000108,50713,37911,820,11985,4375,7610,14591,6027,8564,4160,1592,2568,800,479,321,4412,2714,1698,1143,4122,8680,0.747559797291,train
il_0000146,82761,65129,903,11631,4363,7268,33088,14136,18952,1084,504,580,3286,1416,1870,9326,4744,4582,5811,3685,13947,0.786952791774,train
tx_0000333,32737,28653,0,7893,3076,4817,8842,4025,4817,2232,1339,893,1037,703,334,5097,1906,3191,3552,1725,2359,0.875248190121,train
ny_0000180,34002,29223,51,556,193,363,17853,5787,12066,5576,2541,3035,359,0,359,4180,2144,2036,648,1036,3743,0.85944944415,train
va_0000081,42004,34304,54,1620,638,982,16710,5199,11511,10198,4800,5398,468,192,276,4310,1968,2342,944,2018,5682,0.816684125321,train
dc_0000013,57146,28494,503,7008,1900,5108,11756,3134,8622,747,211,536,1286,97,1189,4862,2563,2299,2332,5568,23084,0.498617576033,train
ca_0000327,45455,40244,183,8367,3872,4495,24434,11911,12523,1314,591,723,369,201,168,4101,2756,1345,1476,985,4226,0.885359146409,train
ma_0000088,44034,35677,263,2009,413,1596,22109,8115,13994,6759,2885,3874,268,131,137,3468,1421,2047,801,1001,7356,0.810214833992,train
ky_0000054,45448,40291,57,5945,3002,2943,23769,11579,12190,1791,975,816,412,329,83,6557,4353,2204,1760,866,4291,0.886529660271,train
pa_0000147,45114,36560,299,2431,661,1770,17073,5429,11644,12131,4071,8060,258,145,113,3698,2223,1475,670,1351,7203,0.810391452764,train
nd_0000028,68282,54394,476,11479,5482,5997,29267,14510,14757,1343,720,623,2188,787,1401,4396,2456,1940,5245,4168,9720,0.796608183709,train
ut_0000037,34785,28362,287,8171,2032,6139,7843,1803,6040,1404,569,835,3840,1046,2794,2400,1132,1268,4417,655,5768,0.815351444588,train
wa_0000117,42147,37855,311,6663,3621,3042,24420,14968,9452,1519,931,588,958,590,368,3136,2422,714,848,920,3372,0.898165943009,train
ky_0000038,38221,23453,332,8539,2806,5733,7109,1563,5546,1190,154,1036,1779,400,1379,2290,1552,738,2214,2155,12613,0.61361555166,train
fl_0000240,36739,25897,580,10988,1894,9094,9457,3909,5548,622,232,390,551,292,259,2798,1239,1559,901,2218,8624,0.704891259969,train
az_0000069,41417,32571,372,4233,2268,1965,21908,9457,12451,647,440,207,858,332,526,2608,1613,995,1945,1239,7607,0.786416205906,train
nc_0000148,50249,33345,348,8496,2106,6390,16013,5433,10580,1892,375,1517,412,137,275,4368,1505,2863,1816,2337,14567,0.663595295429,train
wa_0000106,52803,42265,326,6763,3487,3276,27384,15747,11637,621,337,284,1183,448,735,3311,2066,1245,2677,1795,8743,0.800428005985,train
ny_0000141,51700,40027,521,6275,2713,3562,26625,9501,17124,150,68,82,494,0,494,3623,1726,1897,2339,1171,10502,0.774216634429,train
fl_0000157,41320,28603,449,5862,2187,3675,12414,6401,6013,1703,710,993,541,318,223,5685,1948,3737,1949,2348,10369,0.692231364956,train
fl_0000235,28883,24922,620,7261,1153,6108,10769,2812,7957,1192,647,545,438,129,309,4107,1744,2363,535,709,3252,0.86286050618,train
fl_0000162,59840,42652,223,8646,2954,5692,23417,8749,14668,1246,416,830,601,165,436,5640,2844,2796,2879,3144,14044,0.712767379679,train
ny_0000173,40181,29861,786,4235,1063,3172,18838,4993,13845,286,0,286,1311,514,797,2178,1035,1143,2227,1434,8886,0.743162191085,train
ga_0000143,33860,31662,260,8619,3018,5601,13203,6007,7196,583,172,411,389,214,175,7309,5340,1969,1299,1121,1077,0.935085646781,train
mo_0000082,44397,27819,929,12893,4162,8731,4682,1200,3482,40,0,40,2275,500,1775,3249,1576,1673,3751,2261,14317,0.626596391648,train
ia_0000050,47320,38017,341,13150,3260,9890,14967,4915,10052,589,248,341,1241,367,874,3772,2142,1630,3957,3168,6135,0.803402366864,train
nm_0000034,30223,18334,751,5332,2211,3121,5297,1347,3950,546,254,292,1031,494,537,3365,1564,1801,2012,1555,10334,0.606624094233,train
nj_0000094,38729,28190,254,2535,937,1598,13663,4597,9066,5791,1584,4207,512,172,340,3047,1442,1605,2388,1296,9243,0.727878334065,train
il_0000185,49185,37371,407,9724,4214,5510,19359,7815,11544,920,480,440,642,114,528,3509,2035,1474,2810,1670,10144,0.759804818542,train
nc_0000104,50611,37500,85,5848,2251,3597,23698,13405,10293,1569,1035,534,395,56,339,2710,2107,603,3195,4600,8511,0.740945644228,train
md_0000052,56400,40283,808,8969,3302,5667,22421,8849,13572,1128,382,746,1264,649,615,3020,1402,1618,2673,2908,13209,0.714237588652,train
oh_0000133,40359,27745,651,2993,898,2095,18780,7055,11725,217,37,180,1111,177,934,3013,1177,1836,980,1996,10618,0.687455090562,train
wa_0000112,46590,34121,421,4835,2059,2776,22638,8773,13865,679,71,608,911,349,562,2450,1500,950,2187,1018,11451,0.732367460829,train
