,censustract,PUMA,HSI,Device,WGTP,withoutHSI,WithoutDevice
0,36005026701,03701,31768,35535,41585,23.6070698569,14.5485150896
1,36005026702,03701,31768,35535,41585,23.6070698569,14.5485150896
2,36005027300,03701,31768,35535,41585,23.6070698569,14.5485150896
3,36005027700,03701,31768,35535,41585,23.6070698569,14.5485150896
4,36005027900,03701,31768,35535,41585,23.6070698569,14.5485150896
5,36005028100,03701,31768,35535,41585,23.6070698569,14.5485150896
6,36005028300,03701,31768,35535,41585,23.6070698569,14.5485150896
7,36005028500,03701,31768,35535,41585,23.6070698569,14.5485150896
8,36005028700,03701,31768,35535,41585,23.6070698569,14.5485150896
9,36005028900,03701,31768,35535,41585,23.6070698569,14.5485150896
10,36005029301,03701,31768,35535,41585,23.6070698569,14.5485150896
11,36005029302,03701,31768,35535,41585,23.6070698569,14.5485150896
12,36005029500,03701,31768,35535,41585,23.6070698569,14.5485150896
13,36005029700,03701,31768,35535,41585,23.6070698569,14.5485150896
14,36005030100,03701,31768,35535,41585,23.6070698569,14.5485150896
15,36005030701,03701,31768,35535,41585,23.6070698569,14.5485150896
16,36005030900,03701,31768,35535,41585,23.6070698569,14.5485150896
17,36005031900,03701,31768,35535,41585,23.6070698569,14.5485150896
18,36005032300,03701,31768,35535,41585,23.6070698569,14.5485150896
19,36005033500,03701,31768,35535,41585,23.6070698569,14.5485150896
20,36005033700,03701,31768,35535,41585,23.6070698569,14.5485150896
21,36005034300,03701,31768,35535,41585,23.6070698569,14.5485150896
22,36005034500,03701,31768,35535,41585,23.6070698569,14.5485150896
23,36005035100,03701,31768,35535,41585,23.6070698569,14.5485150896
24,36005040303,03701,31768,35535,41585,23.6070698569,14.5485150896
25,36005040304,03701,31768,35535,41585,23.6070698569,14.5485150896
26,36005040701,03701,31768,35535,41585,23.6070698569,14.5485150896
27,36005040900,03701,31768,35535,41585,23.6070698569,14.5485150896
28,36005035600,03702,33599,39321,46196,27.2685946835,14.8822408867
29,36005035800,03702,33599,39321,46196,27.2685946835,14.8822408867
30,36005036400,03702,33599,39321,46196,27.2685946835,14.8822408867
31,36005036800,03702,33599,39321,46196,27.2685946835,14.8822408867
32,36005037000,03702,33599,39321,46196,27.2685946835,14.8822408867
33,36005037200,03702,33599,39321,46196,27.2685946835,14.8822408867
34,36005037400,03702,33599,39321,46196,27.2685946835,14.8822408867
35,36005037600,03702,33599,39321,46196,27.2685946835,14.8822408867
36,36005037800,03702,33599,39321,46196,27.2685946835,14.8822408867
37,36005038000,03702,33599,39321,46196,27.2685946835,14.8822408867
38,36005038200,03702,33599,39321,46196,27.2685946835,14.8822408867
39,36005038600,03702,33599,39321,46196,27.2685946835,14.8822408867
40,36005038800,03702,33599,39321,46196,27.2685946835,14.8822408867
41,36005039000,03702,33599,39321,46196,27.2685946835,14.8822408867
42,36005039200,03702,33599,39321,46196,27.2685946835,14.8822408867
43,36005039400,03702,33599,39321,46196,27.2685946835,14.8822408867
44,36005039600,03702,33599,39321,46196,27.2685946835,14.8822408867
45,36005039800,03702,33599,39321,46196,27.2685946835,14.8822408867
46,36005040400,03702,33599,39321,46196,27.2685946835,14.8822408867
47,36005040600,03702,33599,39321,46196,27.2685946835,14.8822408867
48,36005040800,03702,33599,39321,46196,27.2685946835,14.8822408867
49,36005041400,03702,33599,39321,46196,27.2685946835,14.8822408867
50,36005041800,03702,33599,39321,46196,27.2685946835,14.8822408867
51,36005042000,03702,33599,39321,46196,27.2685946835,14.8822408867
52,36005042200,03702,33599,39321,46196,27.2685946835,14.8822408867
53,36005042400,03702,33599,39321,46196,27.2685946835,14.8822408867
54,36005042600,03702,33599,39321,46196,27.2685946835,14.8822408867
55,36005042800,03702,33599,39321,46196,27.2685946835,14.8822408867
56,36005043000,03702,33599,39321,46196,27.2685946835,14.8822408867
57,36005043400,03702,33599,39321,46196,27.2685946835,14.8822408867
58,36005043500,03702,33599,39321,46196,27.2685946835,14.8822408867
59,36005043600,03702,33599,39321,46196,27.2685946835,14.8822408867
60,36005044200,03702,33599,39321,46196,27.2685946835,14.8822408867
61,36005044400,03702,33599,39321,46196,27.2685946835,14.8822408867
62,36005044800,03702,33599,39321,46196,27.2685946835,14.8822408867
63,36005044901,03702,33599,39321,46196,27.2685946835,14.8822408867
64,36005044902,03702,33599,39321,46196,27.2685946835,14.8822408867
65,36005045101,03702,33599,39321,46196,27.2685946835,14.8822408867
66,36005045102,03702,33599,39321,46196,27.2685946835,14.8822408867
67,36005045600,03702,33599,39321,46196,27.2685946835,14.8822408867
68,36005045800,03702,33599,39321,46196,27.2685946835,14.8822408867
69,36005046000,03702,33599,39321,46196,27.2685946835,14.8822408867
70,36005048400,03702,33599,39321,46196,27.2685946835,14.8822408867
71,36005011000,03703,33958,36252,44637,23.9240988418,18.7848645742
72,36005011800,03703,33958,36252,44637,23.9240988418,18.7848645742
73,36005013000,03703,33958,36252,44637,23.9240988418,18.7848645742
74,36005013200,03703,33958,36252,44637,23.9240988418,18.7848645742
75,36005013800,03703,33958,36252,44637,23.9240988418,18.7848645742
76,36005014400,03703,33958,36252,44637,23.9240988418,18.7848645742
77,36005015200,03703,33958,36252,44637,23.9240988418,18.7848645742
78,36005015800,03703,33958,36252,44637,23.9240988418,18.7848645742
79,36005016000,03703,33958,36252,44637,23.9240988418,18.7848645742
80,36005016200,03703,33958,36252,44637,23.9240988418,18.7848645742
81,36005016400,03703,33958,36252,44637,23.9240988418,18.7848645742
82,36005016600,03703,33958,36252,44637,23.9240988418,18.7848645742
83,36005018400,03703,33958,36252,44637,23.9240988418,18.7848645742
84,36005019400,03703,33958,36252,44637,23.9240988418,18.7848645742
85,36005026400,03703,33958,36252,44637,23.9240988418,18.7848645742
86,36005026601,03703,33958,36252,44637,23.9240988418,18.7848645742
87,36005026602,03703,33958,36252,44637,23.9240988418,18.7848645742
88,36005027401,03703,33958,36252,44637,23.9240988418,18.7848645742
89,36005027402,03703,33958,36252,44637,23.9240988418,18.7848645742
90,36005027600,03703,33958,36252,44637,23.9240988418,18.7848645742
91,36005030000,03703,33958,36252,44637,23.9240988418,18.7848645742
92,36005030200,03703,33958,36252,44637,23.9240988418,18.7848645742
93,36005046201,03703,33958,36252,44637,23.9240988418,18.7848645742
94,36005046202,03703,33958,36252,44637,23.9240988418,18.7848645742
95,36005050400,03703,33958,36252,44637,23.9240988418,18.7848645742
96,36005051600,03703,33958,36252,44637,23.9240988418,18.7848645742
97,36005020000,03704,29102,33676,42571,31.6389091165,20.8945056494
98,36005022401,03704,29102,33676,42571,31.6389091165,20.8945056494
99,36005022403,03704,29102,33676,42571,31.6389091165,20.8945056494
100,36005022404,03704,29102,33676,42571,31.6389091165,20.8945056494
101,36005022800,03704,29102,33676,42571,31.6389091165,20.8945056494
102,36005023000,03704,29102,33676,42571,31.6389091165,20.8945056494
103,36005023200,03704,29102,33676,42571,31.6389091165,20.8945056494
104,36005023600,03704,29102,33676,42571,31.6389091165,20.8945056494
105,36005023800,03704,29102,33676,42571,31.6389091165,20.8945056494
106,36005024000,03704,29102,33676,42571,31.6389091165,20.8945056494
107,36005024400,03704,29102,33676,42571,31.6389091165,20.8945056494
108,36005024600,03704,29102,33676,42571,31.6389091165,20.8945056494
109,36005024800,03704,29102,33676,42571,31.6389091165,20.8945056494
110,36005025000,03704,29102,33676,42571,31.6389091165,20.8945056494
111,36005025200,03704,29102,33676,42571,31.6389091165,20.8945056494
112,36005025400,03704,29102,33676,42571,31.6389091165,20.8945056494
113,36005025600,03704,29102,33676,42571,31.6389091165,20.8945056494
